"username (S)","day (N)","periods (L)"
"Julien","1","[  { ""M"" : {      ""endTime"" : { ""S"" : ""14:10"" },      ""startTime"" : { ""S"" : ""13:30"" },      ""subject"" : { ""S"" : ""Английски"" }    }  }]"
"Julien","2","[  { ""M"" : {      ""endTime"" : { ""S"" : ""15:00"" },      ""startTime"" : { ""S"" : ""14:20"" },      ""subject"" : { ""S"" : ""Английски"" }    }  }]"
"Julien","3","[  { ""M"" : {      ""endTime"" : { ""S"" : ""15:50"" },      ""startTime"" : { ""S"" : ""15:10"" },      ""subject"" : { ""S"" : ""Английски"" }    }  }]"
"Julien","4","[  { ""M"" : {      ""endTime"" : { ""S"" : ""16:50"" },      ""startTime"" : { ""S"" : ""16:10"" },      ""subject"" : { ""S"" : ""Български"" }    }  }]"
"Julien","5","[  { ""M"" : {      ""endTime"" : { ""S"" : ""17:40"" },      ""startTime"" : { ""S"" : ""17:00"" },      ""subject"" : { ""S"" : ""Информатика"" }    }  }]"
"Julienpopov","1","[  { ""M"" : {      ""endTime"" : { ""S"" : ""11:40"" },      ""startTime"" : { ""S"" : ""11:00"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""12:30"" },      ""startTime"" : { ""S"" : ""11:50"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""13:20"" },      ""startTime"" : { ""S"" : ""12:40"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""14:10"" },      ""startTime"" : { ""S"" : ""13:30"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:00"" },      ""startTime"" : { ""S"" : ""14:20"" },      ""subject"" : { ""S"" : ""ФВС"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:50"" },      ""startTime"" : { ""S"" : ""15:10"" },      ""subject"" : { ""S"" : ""Български"" }    }  }]"
"Julienpopov","2","[  { ""M"" : {      ""endTime"" : { ""S"" : ""10:50"" },      ""startTime"" : { ""S"" : ""10:10"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""11:40"" },      ""startTime"" : { ""S"" : ""11:00"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""12:30"" },      ""startTime"" : { ""S"" : ""11:50"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""13:20"" },      ""startTime"" : { ""S"" : ""12:40"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""14:10"" },      ""startTime"" : { ""S"" : ""13:30"" },      ""subject"" : { ""S"" : ""Философия"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:00"" },      ""startTime"" : { ""S"" : ""14:20"" },      ""subject"" : { ""S"" : ""Математика"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:50"" },      ""startTime"" : { ""S"" : ""15:10"" },      ""subject"" : { ""S"" : ""ФВС"" }    }  }]"
"Julienpopov","3","[  { ""M"" : {      ""endTime"" : { ""S"" : ""11:40"" },      ""startTime"" : { ""S"" : ""11:00"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""12:30"" },      ""startTime"" : { ""S"" : ""11:50"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""13:20"" },      ""startTime"" : { ""S"" : ""12:40"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""14:10"" },      ""startTime"" : { ""S"" : ""13:30"" },      ""subject"" : { ""S"" : ""Български"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:00"" },      ""startTime"" : { ""S"" : ""14:20"" },      ""subject"" : { ""S"" : ""Български"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:50"" },      ""startTime"" : { ""S"" : ""15:10"" },      ""subject"" : { ""S"" : ""Математика"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""17:50"" },      ""startTime"" : { ""S"" : ""16:10"" },      ""subject"" : { ""S"" : ""Информационни технологии"" }    }  }]"
"Julienpopov","4","[  { ""M"" : {      ""endTime"" : { ""S"" : ""13:30"" },      ""startTime"" : { ""S"" : ""13:00"" },      ""subject"" : { ""S"" : ""Музика"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""14:10"" },      ""startTime"" : { ""S"" : ""13:30"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:00"" },      ""startTime"" : { ""S"" : ""14:20"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:50"" },      ""startTime"" : { ""S"" : ""15:10"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""16:50"" },      ""startTime"" : { ""S"" : ""16:10"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""17:40"" },      ""startTime"" : { ""S"" : ""17:00"" },      ""subject"" : { ""S"" : ""Математика"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""18:30"" },      ""startTime"" : { ""S"" : ""17:50"" },      ""subject"" : { ""S"" : ""Информатика"" }    }  }]"
"Julienpopov","5","[  { ""M"" : {      ""endTime"" : { ""S"" : ""14:10"" },      ""startTime"" : { ""S"" : ""13:30"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:00"" },      ""startTime"" : { ""S"" : ""14:20"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""15:50"" },      ""startTime"" : { ""S"" : ""15:10"" },      ""subject"" : { ""S"" : ""Английски"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""16:50"" },      ""startTime"" : { ""S"" : ""16:10"" },      ""subject"" : { ""S"" : ""Български"" }    }  },  { ""M"" : {      ""endTime"" : { ""S"" : ""17:40"" },      ""startTime"" : { ""S"" : ""17:00"" },      ""subject"" : { ""S"" : ""Информатика"" }    }  }]"
