"username (S)","subjects (L)"
"Julien","[  { ""S"" : ""Математика"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Български"" },  { ""S"" : ""Философия"" },  { ""S"" : ""ФВС"" },  { ""S"" : ""Информатика"" },  { ""S"" : ""Информационни технологии"" }]"
"Julienpopov","[  { ""S"" : ""Математика"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Български"" },  { ""S"" : ""Философия"" },  { ""S"" : ""ФВС"" },  { ""S"" : ""Информатика"" },  { ""S"" : ""Информационни технологии"" },  { ""S"" : ""Музика"" }]"
"filip6529","[  { ""S"" : ""Математика"" },  { ""S"" : ""Математика-ЗИП"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Български"" },  { ""S"" : ""Немски"" },  { ""S"" : ""Немски-СИП"" },  { ""S"" : ""География"" },  { ""S"" : ""Биология"" },  { ""S"" : ""Химия"" },  { ""S"" : ""Физика"" },  { ""S"" : ""Философия"" },  { ""S"" : ""История"" },  { ""S"" : ""ФВС"" }]"
"kachamaka","[  { ""S"" : ""Математика"" },  { ""S"" : ""Математика-СИП"" },  { ""S"" : ""Математика-ЗИП"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Български"" },  { ""S"" : ""Немски"" },  { ""S"" : ""Немски-СИП"" },  { ""S"" : ""География"" },  { ""S"" : ""Биология"" },  { ""S"" : ""Химия"" },  { ""S"" : ""Физика"" },  { ""S"" : ""История"" },  { ""S"" : ""Философия"" },  { ""S"" : ""ФВС"" }]"
"pesho","[  { ""S"" : ""Математика"" },  { ""S"" : ""Математика-СИП"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Английски-ЗИП"" },  { ""S"" : ""Немски-СИП"" },  { ""S"" : ""География"" },  { ""S"" : ""География-СИП"" }]"
"teacher","[  { ""S"" : ""Информационни технологии"" },  { ""S"" : ""Информационни технологии-СИП"" },  { ""S"" : ""Информационни технологии-ЗИП"" },  { ""S"" : ""Консултации"" }]"
"test","[  { ""S"" : ""Math"" }]"
"test123","[  { ""S"" : ""Математика"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Български"" },  { ""S"" : ""Немски"" },  { ""S"" : ""География"" }]"
"testUser","[  { ""S"" : ""Математика"" },  { ""S"" : ""Математика-СИП"" },  { ""S"" : ""Математика-ЗИП"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Английски-СИП"" },  { ""S"" : ""Български"" },  { ""S"" : ""Немски"" },  { ""S"" : ""Немски-СИП"" },  { ""S"" : ""География"" },  { ""S"" : ""Биология"" },  { ""S"" : ""Химия"" },  { ""S"" : ""Физика"" },  { ""S"" : ""ФВС"" }]"
"testt","[  { ""S"" : ""Math"" }]"
"testtest","[  { ""S"" : ""Math"" },  { ""S"" : ""BG"" },  { ""S"" : ""German"" },  { ""S"" : ""Geo"" }]"
"testtest1","[  { ""S"" : ""Math"" },  { ""S"" : ""BG"" },  { ""S"" : ""German"" }]"
"trayan","[  { ""S"" : ""Math"" }]"
"viktorina2002","[  { ""S"" : ""Математика"" },  { ""S"" : ""Английски"" },  { ""S"" : ""Български"" },  { ""S"" : ""Немски"" },  { ""S"" : ""Немски-СИП"" },  { ""S"" : ""География"" },  { ""S"" : ""Биология"" },  { ""S"" : ""Химия"" },  { ""S"" : ""Физика"" },  { ""S"" : ""Философия"" },  { ""S"" : ""История"" },  { ""S"" : ""ФВС"" },  { ""S"" : ""Информатика"" },  { ""S"" : ""ЧНК"" }]"
"wabevaxu@digital","[  { ""S"" : ""Математика"" },  { ""S"" : ""Английски"" }]"
